"","PCA.1","PCA.2","PCA.3","PCA.4","PCA.5","MDS.x","MDS.y","tSNE.x","tSNE.y"
"S4",-0.313671832328622,5.43898305873835,-6.99893096595074,0.315980334756941,2.38465935587186,7.00495141035934e-05,0.000417643594539269,51.5474589071398,38.6046032527099
"S5",-0.779295396841307,-8.00851136010114,-2.15479794400284,7.82310096523213,-2.73426591307949,8.26869794763636e-05,-0.000403889224997216,110.135497113342,220.21915871128
"S6",0.417895491042196,-3.84573406184972,-14.1846279257482,-6.19275663853449,-3.30860504602943,5.01384521160801e-05,-0.000211376485413862,84.4639019284943,31.35709737983
"S7",0.0947752470680907,-8.29291859114599,-0.100687803429413,7.92719116199301,0.351407114723076,1.91586818547596e-05,-0.000435664088602419,121.038901677385,188.357841446867
"S28",9.93256798888549,8.60558604204976,-1.60579784253811,3.91210823029446,8.89019120513152,-0.000726249326507979,0.000526463220354767,156.14369678544,-88.2675849291472
"S29",8.54084075715275,12.0043952575188,3.46166886238042,2.12919222034186,-9.79775940228479,-0.000631282795619606,0.000766468690805302,-35.8314373170338,143.658923765217
"S30",10.0965050503907,-7.24422181996102,10.1111463657543,-4.27050799205155,0.62573750786999,-0.000762065070505859,-0.000579541645360286,-245.462751846871,-56.5704743677459
"S31",10.1828817508148,-3.91701335282683,1.36133578662795,-6.84996914137361,1.63871551165461,-0.000718102120721636,-0.000289235473929863,-250.232701432428,-22.9895722817453
"S1",-13.8756750581479,3.48638936801824,2.39747638057231,-1.61229728715422,2.6652226682142,0.000967776717576366,0.000203812324743418,-0.0669786895391276,-145.868054514358
"S2",-13.4863258099255,3.57786199255102,4.055748502263,-2.64902412778832,-0.594056960490252,0.000922803668536491,0.000196425243004786,-27.2791347242035,-124.079076497321
"S3",-10.8104981881106,-1.80481653299143,3.65746658407131,-0.533017725716188,-0.121246041581291,0.000725085299691428,-0.000191106155143897,35.5435475982748,-184.422861965586
