"User_ID sorted by SD","Ensembl_gene_id","symbol","cng_1","cng_2","cng_3","cng_4","wt_1","wt_2","wt_3","treatment30_1","treatment30_2","treatment30_3","treatment30_4"
" ENSMUSG00000020712","ENSMUSG00000020712","  Tcam1",3,2,0,5,1,2,11,0,7,9,6
" ENSMUSG00000030512","ENSMUSG00000030512","  Snrpa1",499,429,207,401,327,284,378,441,492,420,448
" ENSMUSG00000022855","ENSMUSG00000022855","  Senp2",2353,1747,958,1743,1770,1856,2029,2139,2436,2014,2338
" ENSMUSG00000020946","ENSMUSG00000020946","  Gosr2",894,989,500,562,789,709,699,845,1221,976,895
" ENSMUSG00000025373","ENSMUSG00000025373","  Rnf41",1355,1425,835,1211,1033,1206,899,1416,2063,1539,1455
" ENSMUSG00000055681","ENSMUSG00000055681","  Cope",1972,1825,1046,1403,1406,1305,1432,2083,2519,2039,1783
" ENSMUSG00000019370","ENSMUSG00000019370","  Calm3",12368,12873,6625,9592,9370,9405,9916,11350,17588,13961,11105
" ENSMUSG00000060727","ENSMUSG00000060727","  Gm12571",2,7,13,8,2,8,8,10,12,1,10
" ENSMUSG00000027430","ENSMUSG00000027430","  Dtd1",529,601,385,492,436,487,559,703,961,751,558
" ENSMUSG00000040463","ENSMUSG00000040463","  Mybbp1a",2646,2891,1445,2293,2117,1861,1729,2651,3411,2816,2692
" ENSMUSG00000031078","ENSMUSG00000031078","  Cttn",1623,1755,1053,1450,1093,1116,1268,1784,2327,1860,1720
" ENSMUSG00000018286","ENSMUSG00000018286","  Psmb6",1750,1943,1061,1328,1222,1156,1346,1755,2487,1821,1575
" ENSMUSG00000005882","ENSMUSG00000005882","  Uqcc1",1392,1600,912,1058,856,1026,993,1332,1842,1642,1299
" ENSMUSG00000031059","ENSMUSG00000031059","  Ndufb11",884,979,515,729,573,674,619,972,1195,902,829
" ENSMUSG00000074749","ENSMUSG00000074749","  Kiz",404,356,182,360,345,393,430,361,538,415,363
" ENSMUSG00000046378","ENSMUSG00000046378","  Asphd1",204,139,90,160,164,138,127,186,250,192,150
" ENSMUSG00000022596","ENSMUSG00000022596","  Slurp1",9,18,6,12,7,8,16,5,20,13,20
" ENSMUSG00000028437","ENSMUSG00000028437","  Ubap1",1555,1797,962,1470,1237,1240,1164,1557,2333,2006,1661
" ENSMUSG00000040502","ENSMUSG00000040502","  March9",1141,1216,687,745,860,870,773,1067,1580,1214,1161
" ENSMUSG00000104515","ENSMUSG00000104515","  Gm37163",16,24,16,7,17,33,22,23,14,11,22
" ENSMUSG00000051736","ENSMUSG00000051736","  Fam229b",93,57,40,80,65,58,52,82,111,66,86
" ENSMUSG00000025980","ENSMUSG00000025980","  Hspd1",1093,1204,610,985,907,964,713,1014,1565,1241,1083
" ENSMUSG00000029559","ENSMUSG00000029559","  2210016L21Rik",1564,1692,795,1415,1130,1218,1160,1631,2042,1518,1618
" ENSMUSG00000097564","ENSMUSG00000097564","  C430014B12Rik",225,258,171,177,198,206,155,272,361,266,314
" ENSMUSG00000112429","ENSMUSG00000112429","  Gm47093",3,12,9,8,6,5,8,4,23,10,6
" ENSMUSG00000031812","ENSMUSG00000031812","  Map1lc3b",1322,1191,669,896,975,1057,933,1106,1821,1318,1175
" ENSMUSG00000085168","ENSMUSG00000085168","  Gm16252",24,23,22,25,26,38,53,21,47,42,26
" ENSMUSG00000073481","ENSMUSG00000073481","  Marc2",590,707,372,522,378,442,415,608,795,642,635
" ENSMUSG00000073079","ENSMUSG00000073079","  Srp54a",34,55,19,40,27,59,31,39,44,51,40
" ENSMUSG00000034667","ENSMUSG00000034667","  Xpot",1573,1432,811,1128,1029,1022,1043,1393,1955,1621,1333
" ENSMUSG00000069520","ENSMUSG00000069520","  Tmem19",405,309,179,252,281,292,249,365,456,371,348
" ENSMUSG00000075704","ENSMUSG00000075704","  Txnrd2",351,380,222,321,370,284,339,420,603,477,404
